endTime,artistName,trackName,msPlayed
2020-12-26 05:46,UrboyTJ,ช่วยไม่ได้,197948
2020-12-26 05:50,BTS,Life Goes On,207481
2020-12-26 05:53,SERIOUS BACON,พี่ๆ ตัดแว่นให้หน่อย,219740
2020-12-26 05:57,Zom Marie,หรือฉันคิดไปเอง,216000
2020-12-26 06:01,Tilly Birds,คิด(แต่ไม่)ถึง (Same Page?),266526
2020-12-26 06:05,Mirrr,นิโคติน,216969
2020-12-26 06:09,Palmy,ขวัญเอยขวัญมา,210612
2020-12-26 06:12,BamBam,พี่ไม่หล่อลวง - เพลงประกอบภาพยนตร์ อ้าย..คนหล่อลวง,4945
2020-12-26 06:12,NaNa,โลมาไม่ใช่ปลา,184000
2020-12-26 06:12,BLACKPINK,Lovesick Girls,1973
2020-12-26 06:13,Ariana Grande,34+35,2020
2020-12-26 06:16,Safeplanet,ถ้าเธอได้รู้ (The Secret ∆),224875
2020-12-26 06:20,ROOFTOP,คนเราจะแอบรักใครสักคนได้นานแค่ไหน,201500
2020-12-26 06:24,BOWKYLION,คงคา,257500
2020-12-26 06:27,BTS,Dynamite,199053
2020-12-26 06:31,Billkin,โคตรพิเศษ - (From “แปลรักฉันด้วยใจเธอ”),238651
2020-12-26 06:35,Shawn Mendes,Teach Me How To Love,202356
2020-12-26 06:49,Three Man Down,ฝนตกไหม,262966
2020-12-26 06:51,F.HERO,จำเก่ง (Slipped Your Mind),100125
2020-12-26 06:54,Ed Sheeran,Afterglow,185486
2020-12-26 06:57,Ariana Grande,34+35,173710
2020-12-26 06:59,Lil Nas X,HOLIDAY,154997
2020-12-26 07:02,The Kid LAROI,WITHOUT YOU,161384
2020-12-26 07:05,Dua Lipa,Levitating (feat. DaBaby),94855
2020-12-26 07:06,Dua Lipa,Levitating (feat. DaBaby),108074
2020-12-26 07:11,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),178994
2020-12-26 07:15,Taylor Swift,willow,214706
2020-12-26 07:18,Ariana Grande,positions,172324
2020-12-26 07:21,Billie Eilish,Therefore I Am,174321
2020-12-26 07:24,Pop Smoke,What You Know Bout Love,160000
2020-12-26 07:27,Bad Bunny,DÁKITI,205090
2020-12-26 07:29,24kGoldn,Mood (feat. iann dior),140525
2020-12-26 07:32,Playboi Carti,Slay3r,164590
2020-12-26 07:35,HVME,Goosebumps,163208
2020-12-26 07:38,Miley Cyrus,Prisoner (feat. Dua Lipa),169333
2020-12-26 07:40,Justin Bieber,Lonely (with benny blanco),149297
2020-12-26 07:44,Ritt Momney,Put Your Records On,210463
2020-12-26 07:46,CJ,Whoopty,123428
2020-12-26 07:49,Internet Money,Lemonade,195428
2020-12-26 07:52,Tate McRae,you broke me first,169265
2020-12-26 07:55,MEDUZA,Paradise (feat. Dermot Kennedy),167903
2020-12-26 07:57,Tiësto,The Business,164000
2020-12-26 08:00,Juice WRLD,Reminds Me Of You,158032
2020-12-26 08:04,Glass Animals,Heat Waves,238805
2020-12-26 08:08,The Weeknd,Blinding Lights (with ROSALÍA) - Remix,216123
2020-12-26 08:10,Fousheé,Deep End,141223
2020-12-26 08:13,Ariana Grande,pov,201882
2020-12-26 08:17,Black Eyed Peas,GIRL LIKE ME,222522
